CarModel,Year,Engine,Fuel,Price,Milage
BMW X3,2012,1 995 cm3,Diesel,15 200                    EUR,183 000 km
BMW Seria 5 530,2005,2 997 cm3,Diesel,6 990                    EUR,200 000 km
BMW X1,2013,1 998 cm3,Diesel,13 999                    EUR,157 000 km
BMW Seria 4 435,2014,2 979 cm3,Benzina,26 499                    EUR,30 000 km
BMW Seria 3 320,2014,1 995 cm3,Diesel,19 989                    EUR,72 885 km
BMW X5,2008,3 000 cm3,Diesel,10 890                    EUR,199 000 km
BMW Seria 6 640,2013,2 993 cm3,Diesel,37 900                    EUR,122 700 km
BMW X6,2015,2 993 cm3,Diesel,51 900                    EUR,110 000 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,25 499                    EUR,122 500 km
BMW X5,2015,2 993 cm3,Diesel,38 499                    EUR,110 000 km
BMW X5,2014,2 993 cm3,Diesel,36 500                    EUR,161 000 km
BMW X6,2015,2 995 cm3,Diesel,39 900                    EUR,149 000 km
BMW X6,2012,3 000 cm3,Diesel,23 900                    EUR,124 538 km
BMW Seria 3 320,2013,1 993 cm3,Diesel,14 900                    EUR,207 000 km
BMW Seria 1 116,2015,1 995 cm3,Diesel,13 200                    EUR,36 970 km
BMW Seria 3 318,2015,1 995 cm3,Diesel,12 950                    EUR,151 777 km
BMW X6,2015,2 993 cm3,Diesel,37 399                    EUR,114 000 km
BMW Seria 5 530,2013,2 995 cm3,Diesel,14 500                    EUR,268 000 km
BMW Seria 5 530,2015,2 998 cm3,Diesel,25 899                    EUR,134 789 km
BMW Seria 3 3GT,2014,1 997 cm3,Benzina,15 300                    EUR,190 000 km
BMW Seria 1 120,2008,1 995 cm3,Diesel,7 990                    EUR,184 300 km
BMW X6,2013,2 993 cm3,Diesel,29 999                    EUR,229 456 km
BMW Seria 3 320,2013,2 000 cm3,Diesel,12 400                    EUR,210 000 km
BMW Seria 3 320,2011,1 995 cm3,Diesel,6 999                    EUR,228 345 km
BMW Seria 5 525,2011,2 960 cm3,Diesel,13 200                    EUR,281 000 km
BMW X4,2014,1 997 cm3,Diesel,28 441                    EUR,123 500 km
BMW Seria 3,2011,1 995 cm3,Diesel,8 499                    EUR,230 200 km
BMW Seria 3,2009,1 995 cm3,Diesel,7 499                    EUR,186 000 km
BMW X5,2011,2 993 cm3,Diesel,16 640                    EUR,214 900 km
BMW Seria 5 535,2012,2 998 cm3,Diesel,22 000                    EUR,186 150 km
BMW Seria 5 520,2013,1 980 cm3,Diesel,19 500                    EUR,96 000 km
BMW Seria 3 320,2015,1 995 cm3,Diesel,18 445                    EUR,69 536 km
BMW Seria 7 740,2011,3 000 cm3,Diesel,18 900                    EUR,232 000 km
BMW Seria 3,2010,1 995 cm3,Diesel,6 400                    EUR,219 000 km
BMW Seria 3 335,2014,2 979 cm3,Benzina,20 999                    EUR,189 000 km
BMW X1,2013,1 995 cm3,Diesel,12 450                    EUR,180 000 km
BMW Seria 3 318,2008,1 995 cm3,Benzina,6 990                    EUR,120 086 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,23 550                    EUR,99 780 km
BMW X6,2017,2 993 cm3,Diesel,48 900                    EUR,44 000 km
BMW Seria 5 520,2011,1 995 cm3,Diesel,13 799                    EUR,200 800 km
BMW X5,2011,2 993 cm3,Diesel,14 800                    EUR,183 718 km
BMW Seria 5 520,2016,1 995 cm3,Diesel,22 989                    EUR,120 856 km
BMW Seria 5 520,2013,1 995 cm3,Diesel,18 299                    EUR,147 628 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,16 400                    EUR,167 000 km
BMW Seria 5 535GT,2015,2 993 cm3,Diesel,21 900                    EUR,188 600 km
BMW Seria 5 535,2014,2 993 cm3,Diesel,22 850                    EUR,182 000 km
BMW Seria 4 435,2014,2 979 cm3,Benzina,29 999                    EUR,34 000 km
