Model,Year,HorsePower,Fuel,Mileage,Transmission,Price
"BMW 330i Gran Turismo M Sportpaket 0Anz= 399,-brutt",2018,185 kW (252 CP),Benzina, 11.178 km,automata,40.950 EUR (brut) 34.412 EUR (net)
BMW 330i M Sportpaket Individual Led Navi Leder Kam,2017,185 kW (252 CP),Benzina, 23.609 km,manuala,29.999 EUR (brut) 25.209 EUR (net)
BMW 340i xDrive Sport Line Head-Up HiFi LED Glasdach,2018,240 kW (326 CP),Benzina, 17.500 km,automata,35.789 EUR (brut) 30.075 EUR (net)
BMW 330i Gran Turismo *M Sportpaket*Head-Up*HiFi*LED,2018,185 kW (252 CP),Benzina, 15.169 km,automata,42.900 EUR (brut) 36.050 EUR (net)
BMW 328 GT iX Drive Leder Pano Sound biXeno navi etc,2014,180 kW (245 CP),Benzina, 82.000 km,automata,26.500 EUR (brut)
BMW 330d Limousine Advantage Head-Up DAB LED Shz,2015,190 kW (258 CP),Diesel, 30.829 km,automata,26.890 EUR (brut) 22.597 EUR (net)
BMW 316dA M PAKET NAVI XENON LEDER 117Co2 VOLL!,2014,85 kW (116 CP),Diesel, 189.800 km,automata,12.499 EUR (brut)
BMW 320i Advantage Aut. NEUES MODELL G20 AHK ACC,2019,135 kW (184 CP),Benzina,0 km,automata,43.500 EUR (brut) 36.555 EUR (net)
BMW 320dA Gran Turismo Sport Line NaviProf.HU,2016,140 kW (190 CP),Diesel, 122.023 km,automata,23.497 EUR (brut) 19.745 EUR (net)
BMW 320 d M Sport EU6d-T Leder LED Keyless Parklenka,2019,140 kW (190 CP),Diesel,0 km,automata,62.150 EUR (brut) 52.227 EUR (net)
BMW 340i Limousine Sport Line LED-SW.M-FAHRWERK.NAVI,2016,240 kW (326 CP),Benzina, 65.711 km,manuala,29.888 EUR (brut) 25.116 EUR (net)
BMW 320i,2005,110 kW (150 CP),Benzina, 176.000 km,manuala,4.800 EUR (brut)
BMW 320 320d,2008,130 kW (177 CP),Diesel, 299.972 km,automata,5.499 EUR (brut)
BMW 328i  Gran Turismo Aut. Navi Leder Xenon Memory,2013,180 kW (245 CP),Benzina, 67.000 km,automata,23.900 EUR (brut)
BMW 318d Gran Turismo Navi/Klima/Hi-Fi/PDC,2015,100 kW (136 CP),Diesel, 175.081 km,automata,13.566 EUR (brut) 11.400 EUR (net)
BMW 318d Gran Turismo Comfort/Multi/Cruise,2015,100 kW (136 CP),Diesel, 178.537 km,manuala,11.781 EUR (brut) 9.900 EUR (net)
BMW 316i Special Edition Lifestyle Individual Nappa,2005,85 kW (116 CP),Benzina, 158.000 km,manuala,4.900 EUR (brut)
BMW 318i Klimaautomatik Start/Stop 6-Gang,2008,105 kW (143 CP),Benzina, 114.148 km,manuala,5.990 EUR (brut)
BMW 318d e90 (320d),2007,90 kW (122 CP),Diesel, 148.000 km,manuala,5.300 EUR (brut)
BMW 318 318d,2008,100 kW (136 CP),Diesel, 355.732 km,manuala,4.999 EUR (brut)
BMW 320i Automatik -Klima -AHK -PDC -Steuerkette NEU,2006,110 kW (150 CP),Benzina, 120.000 km,automata,6.990 EUR (brut)
BMW 328i  Gran Turismo Aut. Navi Leder Xenon Memory,2013,180 kW (245 CP),Benzina, 67.000 km,automata,23.900 EUR (brut)
BMW 320d xDrive Limousine Advantage LED Navi Bus.,2016,140 kW (190 CP),Diesel, 99.846 km,automata,22.700 EUR (brut) 19.076 EUR (net)
BMW 330d xDrive Gran Turismo Sport Line Head-Up LED,2018,190 kW (258 CP),Diesel, 11.900 km,automata,43.890 EUR (brut) 36.882 EUR (net)
BMW 325d Automatik Navi Xenon Tempomat PDC Alu AHK,2007,145 kW (197 CP),Diesel, 218.000 km,automata,6.650 EUR (brut)
BMW 318d DPF,2007,90 kW (122 CP),Diesel, 180.000 km,manuala,2.590 EUR (brut)
BMW 335i xDrive Automatik Leder Navi,2010,225 kW (306 CP),Benzina, 85.000 km,manuala,14.990 EUR (brut)
BMW 320 Gran Turismo GT 320i 184pk Executive Sport N,2014,135 kW (184 CP),Benzina, 156.334 km,automata,19.179 EUR (brut) 15.850 EUR (net)
BMW 330i*///M-SPORTPAKET*NAVI*AKTIVLENKUNG*GARANTIE*,2005,190 kW (258 CP),Benzina, 78.114 km,manuala,18.490 EUR (brut)
BMW 325i*NAVIGATION*TEMPOMAT*1.HAND*PDC*GARANTIE*,2011,160 kW (218 CP),Benzina, 65.332 km,manuala,18.490 EUR (brut)
BMW 316d Touring Sport Line Xenon Navi M Lenkrad 18`,2015,85 kW (116 CP),Diesel, 96.000 km,automata,18.450 EUR (brut)
BMW 318 Gran Turismo,2014,105 kW (143 CP),Diesel, 198.800 km,automata,13.500 EUR (brut)
BMW 330i Sport Line Adaptiv LED GSD PDC Sportsitze,2016,185 kW (252 CP),Benzina, 53.343 km,manuala,26.260 EUR (brut)
BMW 318 **FACELIFT** Lim./Navi/Sitzheiz./K...,2010,105 kW (143 CP),Diesel, 126.000 km,manuala,5.100 EUR (brut)
BMW 320i Navigation PDC XENON SHZ Lederaus...,2008,125 kW (170 CP),Benzina, 148.358 km,automata,4.999 EUR (brut)
BMW 320d DPF Aut.,2012,135 kW (184 CP),Diesel, 119.000 km,automata,10.100 EUR (brut)
BMW 325i,2006,160 kW (218 CP),Benzina, 97.052 km,manuala,4.000 EUR (brut)
BMW 320i Lim. - TÃœV 11/2020 - Benzin,2011,125 kW (170 CP),Benzina, 169.000 km,manuala,9.999 EUR (brut)
BMW 318i AHK/Klimaautomatik/PDC/Tempo,2007,95 kW (129 CP),Benzina, 95.000 km,manuala,6.790 EUR (brut)
"BMW 320i Limousine mtl. Rate 415,00 EUR*",2019,135 kW (184 CP),Benzina,0 km,automata,51.500 EUR (brut) 43.277 EUR (net)
BMW 318 i Lim. (E90)- KLIMAAUTOMATIK- TEILLEDER -HU/,2007,95 kW (129 CP),Benzina, 169.000 km,manuala,5.990 EUR (brut)
BMW 320i Limo,2009,125 kW (170 CP),Benzina, 89.000 km,manuala,11.600 EUR (brut)
BMW 320i (e90)limousine,2006,110 kW (150 CP),Benzina, 137.500 km,automata,7.200 EUR (brut)
BMW 325 d Gran Turismo Luxury,2014,160 kW (218 CP),Diesel, 40.000 km,automata,27.900 EUR (brut)
BMW 318i *STEUERKETTE NEU~TÃœV NEU~GARANTIE*,2008,105 kW (143 CP),Benzina, 104.000 km,manuala,6.400 EUR (brut)
"BMW 320d xDrive Luxury Line 18""LM DriAssist. Harman",2019,140 kW (190 CP),Diesel, 2.000 km,automata,55.290 EUR (brut) 46.462 EUR (net)
"BMW 320i Limousine Sport Line 18""LM SAG LED Navi",2018,135 kW (184 CP),Benzina, 12.700 km,automata,30.890 EUR (brut) 25.958 EUR (net)
"BMW 320i Sport Line Limousine 18""LM LED HiFi Alarm",2018,135 kW (184 CP),Benzina, 24.801 km,automata,28.990 EUR (brut) 24.361 EUR (net)
BMW 320i Gran Turismo xDrive Sport Line HUD Stop&GO,2017,135 kW (184 CP),Benzina, 10.800 km,automata,34.990 EUR (brut) 29.403 EUR (net)
BMW 320d xDrive Aut. Limo Sportpaket LED Glasd. EUR6,2016,140 kW (190 CP),Diesel, 105.588 km,automata,19.399 EUR (brut) 16.302 EUR (net)
BMW 340i xDrive M-Performance FullLed HeadUp PDC H&K,2017,240 kW (326 CP),Benzina, 10.000 km,automata,35.990 EUR (brut)
BMW 320 Gran Turismo / Head-Up / Pano / M-Paket,2015,135 kW (184 CP),Diesel, 71.935 km,automata,24.990 EUR (brut)
