CarModel,Year,Engine,Fuel,Price,Milage
BMW Seria 3 320,2011,1 995 cm3,Diesel,6 999                    EUR,228 345 km
BMW Seria 5 525,2011,2 960 cm3,Diesel,13 200                    EUR,281 000 km
BMW Seria 3,2011,1 995 cm3,Diesel,8 499                    EUR,230 200 km
BMW Seria 3,2009,1 995 cm3,Diesel,7 499                    EUR,186 000 km
BMW Seria 5 535,2012,2 998 cm3,Diesel,22 000                    EUR,186 150 km
BMW Seria 5 520,2013,1 980 cm3,Diesel,19 500                    EUR,96 000 km
BMW Seria 3 320,2015,1 995 cm3,Diesel,18 445                    EUR,69 536 km
BMW Seria 7 740,2011,3 000 cm3,Diesel,18 900                    EUR,232 000 km
BMW Seria 3,2010,1 995 cm3,Diesel,6 400                    EUR,219 000 km
BMW Seria 3 335,2014,2 979 cm3,Benzina,20 999                    EUR,189 000 km
BMW Seria 3 318,2008,1 995 cm3,Benzina,6 990                    EUR,120 086 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,23 550                    EUR,99 780 km
BMW Seria 5 520,2011,1 995 cm3,Diesel,13 799                    EUR,200 800 km
BMW Seria 5 520,2016,1 995 cm3,Diesel,22 989                    EUR,120 856 km
BMW Seria 5 520,2013,1 995 cm3,Diesel,18 299                    EUR,147 628 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,16 400                    EUR,167 000 km
BMW Seria 5 535GT,2015,2 993 cm3,Diesel,21 900                    EUR,188 600 km
BMW Seria 5 535,2014,2 993 cm3,Diesel,22 850                    EUR,182 000 km
BMW Seria 4 435,2014,2 979 cm3,Benzina,29 999                    EUR,34 000 km
BMW Seria 6 640,2014,2 998 cm3,Diesel,33 500                    EUR,188 000 km
BMW Seria 7 740,2016,2 993 cm3,Diesel,50 500                    EUR,121 000 km
BMW Seria 7 750,2015,4 950 cm3,Benzina,49 000                    EUR,93 000 km
BMW Seria 5,2011,2 993 cm3,Diesel,16 000                    EUR,213 300 km
BMW Seria 6 640,2013,2 993 cm3,Diesel,25 670                    EUR,178 000 km
BMW Seria 5 F10,2015,1 995 cm3,Diesel,18 500                    EUR,191 746 km
BMW Seria 3 320,2008,1 995 cm3,Diesel,6 250                    EUR,154 000 km
BMW Seria 5 520,2015,2 000 cm3,Diesel,26 970                    EUR,93 300 km
BMW Seria 5 520,2014,2 000 cm3,Diesel,16 590                    EUR,153 000 km
BMW Seria 5 525,2013,1 995 cm3,Diesel,17 200                    EUR,192 000 km
BMW Seria 3 320,2013,1 995 cm3,Diesel,16 499                    EUR,91 000 km
BMW Seria 3 320,2013,1 998 cm3,Diesel,11 990                    EUR,198 000 km
BMW Seria 5 525,2011,2 990 cm3,Diesel,12 700                    EUR,247 000 km
BMW Seria 3 320,2012,1 998 cm3,Diesel,12 400                    EUR,244 000 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,20 100                    EUR,132 000 km
BMW Seria 3 320,2013,1 995 cm3,Diesel,12 800                    EUR,155 700 km
BMW Seria 5 530GT,2010,2 993 cm3,Diesel,14 863                    EUR,285 356 km
BMW Seria 5,2014,2 000 cm3,Diesel,14 950                    EUR,183 450 km
BMW Seria 6,2012,2 995 cm3,Diesel,22 900                    EUR,179 000 km
BMW Seria 5 525,2014,1 995 cm3,Diesel,19 250                    EUR,165 000 km
BMW Seria 3 320,2015,1 998 cm3,Diesel,17 490                    EUR,128 000 km
BMW Seria 5 518,2014,1 995 cm3,Diesel,16 648                    EUR,143 900 km
BMW Seria 3 320,2015,1 995 cm3,Diesel,23 681                    EUR,61 000 km
BMW Seria 5 530,2014,2 996 cm3,Diesel,24 500                    EUR,187 971 km
BMW Seria 5 520,2012,1 995 cm3,Diesel,12 300                    EUR,219 000 km
